stationname,station_id,rides
Austin-Forest Park,10.0,357.994923857868
Harlem-Lake,20.0,925.8020304568528
Pulaski-Lake,30.0,523.1167512690355
Quincy/Wells,40.0,481.73604060913704
Davis,50.0,597.3197969543147
Belmont-O'Hare,60.0,909.8832487309645
Jackson/Dearborn,70.0,724.2994923857868
Sheridan,80.0,639.2791878172588
Damen-Brown,90.0,289.0812182741117
Morse,100.0,927.2994923857868
35th/Archer,120.0,507.34517766497464
51st,130.0,266.3553299492386
Dempster-Skokie,140.0,295.74111675126903
Pulaski-Cermak,150.0,370.8527918781726
LaSalle/Van Buren,160.0,271.3299492385787
Ashland-Lake,170.0,487.44162436548226
Oak Park-Forest Park,180.0,188.0203045685279
Sox-35th-Dan Ryan,190.0,717.1725888324873
Damen-Cermak,210.0,317.9137055837563
Western-Forest Park,220.0,353.25380710659897
Cumberland,230.0,585.0609137055837
79th,240.0,2023.6903553299492
Kedzie-Homan-Forest Park,250.0,584.0710659898477
State/Lake,260.0,1498.0609137055837
Main,270.0,193.41116751269035
Central-Lake,280.0,672.7969543147208
Ashland/63rd,290.0,327.1979695431472
Indiana,300.0,195.4010152284264
Western-Orange,310.0,826.6243654822335
Division/Milwaukee,320.0,660.3401015228426
Grand/State,330.0,1135.3857868020305
Berwyn,340.0,663.4923857868021
UIC-Halsted,350.0,458.5279187817259
Southport,360.0,291.8984771573604
Washington/Dearborn,370.0,1286.5837563451776
Clark/Lake,380.0,1739.6903553299492
Forest Park,390.0,779.9746192893401
Noyes,400.0,91.77157360406092
Cicero-Cermak,420.0,423.9492385786802
Clinton-Forest Park,430.0,342.5939086294416
California-Cermak,440.0,374.25888324873097
95th/Dan Ryan,450.0,2990.8578680203045
Merchandise Mart,460.0,415.56852791878174
Racine,470.0,225.48730964467006
Cicero-Lake,480.0,410.44162436548226
Grand/Milwaukee,490.0,358.0862944162437
Garfield-South Elevated,510.0,288.5989847715736
Foster,520.0,102.28426395939087
Diversey,530.0,601.8730964467005
Wilson,540.0,1471.0253807106599
Irving Park-O'Hare,550.0,806.5431472081218
Jackson/State,560.0,766.4010152284264
California/Milwaukee,570.0,557.0913705583756
54th/Cermak,580.0,580.4010152284264
Damen/Milwaukee,590.0,651.253807106599
Kostner,600.0,145.08121827411168
Ridgeland,610.0,161.79187817258884
Clark/Division,630.0,1191.0913705583757
North/Clybourn,650.0,807.2182741116751
Armitage,660.0,384.7715736040609
Western/Milwaukee,670.0,585.7868020304569
Adams/Wabash,680.0,754.6852791878173
Dempster,690.0,156.26903553299493
Laramie,700.0,360.1269035532995
Chicago/Franklin,710.0,886.7969543147208
East 63rd-Cottage Grove,720.0,281.0253807106599
Washington/Wells,730.0,681.0304568527919
Western-Cermak,740.0,322.76142131979697
Harlem-O'Hare,750.0,509.28934010152284
Granville,760.0,592.0761421319797
Lawrence,770.0,501.70558375634516
Central Park,780.0,328.7766497461929
Monroe/Dearborn,790.0,529.6751269035533
Sedgwick,800.0,460.2182741116751
Medical Center,810.0,523.5685279187817
Rosemont,820.0,1225.253807106599
18th,830.0,378.44162436548226
South Boulevard,840.0,148.83756345177665
Library,850.0,513.8730964467005
Francisco,870.0,206.5736040609137
Thorndale,880.0,459.20304568527916
O'Hare Airport,890.0,2349.192893401015
Howard,900.0,1489.5532994923858
63rd-Dan Ryan,910.0,925.4670050761422
Pulaski-Forest Park,920.0,790.9796954314721
Midway Airport,930.0,1378.0406091370558
Halsted/63rd,940.0,162.751269035533
Pulaski-Orange,960.0,909.4314720812183
Cicero-Forest Park,970.0,464.25380710659897
Harlem-Forest Park,980.0,314.6802030456853
69th,990.0,1417.1167512690356
Cermak-Chinatown,1000.0,658.2893401015228
Rockwell,1010.0,185.89847715736042
Logan Square,1020.0,870.7157360406092
Polk,1030.0,612.2030456852792
Kedzie-Cermak,1040.0,291.71065989847716
Linden,1050.0,137.46192893401016
Ashland-Orange,1060.0,416.76142131979697
Kedzie-Lake,1070.0,405.34517766497464
47th-South Elevated,1080.0,302.9492385786802
Monroe/State,1090.0,757.0304568527919
35-Bronzeville-IIT,1120.0,291.55837563451774
Halsted-Orange,1130.0,399.4517766497462
King Drive,1140.0,169.81725888324874
Kedzie-Midway,1150.0,773.274111675127
Clinton-Lake,1160.0,477.3756345177665
Garfield-Dan Ryan,1170.0,829.5126903553299
Kedzie-Brown,1180.0,417.5532994923858
Jarvis,1190.0,350.56852791878174
Argyle,1200.0,568.005076142132
Wellington,1210.0,335.8477157360406
Fullerton,1220.0,1135.9644670050761
47th-Dan Ryan,1230.0,813.3045685279188
Addison-O'Hare,1240.0,447.4162436548223
Central-Evanston,1250.0,195.0203045685279
Austin-Lake,1260.0,450.03553299492387
43rd,1270.0,259.6345177664975
Jefferson Park,1280.0,1465.2994923857868
Kimball,1290.0,845.2030456852792
Loyola,1300.0,898.3807106598985
Paulina,1310.0,324.34517766497464
Belmont-North Main,1320.0,1589.482233502538
Montrose-O'Hare,1330.0,311.81218274111677
LaSalle,1340.0,308.3756345177665
Oak Park-Lake,1350.0,183.37563451776649
California-Lake,1360.0,292.01015228426394
Bryn Mawr,1380.0,713.6954314720812
Roosevelt,1400.0,2191.736040609137
Chicago/Milwaukee,1410.0,419.47715736040607
Addison-North Main,1420.0,790.8883248730964
87th,1430.0,1099.274111675127
Addison-Brown,1440.0,221.31472081218274
Chicago/State,1450.0,1822.4771573604062
Irving Park-Brown,1460.0,306.46700507614213
Western-Brown,1480.0,623.741116751269
Harrison,1490.0,373.8172588832487
Montrose-Brown,1500.0,307.3197969543147
Morgan-Lake,1510.0,484.43147208121826
Lake/State,1660.0,2214.4467005076144
Conservatory,1670.0,353.38578680203045
Oakton-Skokie,1680.0,160.18274111675126
Cermak-McCormick Place,1690.0,302.3756345177665
Washington/Wabash,1700.0,1577.9137055837564
